,Action,Drama,Supernatural,Suspense,Adventure,Fantasy,Comedy,Romance,Horror,Sci-Fi,Ecchi,Mystery,Sports,Award Winning,Avant Garde,Slice of Life,Gourmet,Boys Love,Girls Love,Hentai,Erotica,Score
85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8.091
86,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.721
87,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.651
88,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.131
89,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.491
90,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8.671
91,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.821
92,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.361
93,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.731
94,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.661
95,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.101
96,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.161
97,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.011
98,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.651
99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.701
100,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.431
101,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501
102,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.671
103,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.151
104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.991
105,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.941
106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.211
107,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.071
108,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.681
109,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.591
110,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.741
111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.791
112,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.101
113,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.101
114,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.241
115,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8.101
116,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.381
117,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.941
118,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.161
119,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.561
120,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.621
121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.761
122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.861
123,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.081
124,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.381
125,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7.771
126,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.851
127,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7.481
128,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.421
129,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.501
130,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.191
131,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.441
132,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.851
133,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.431
134,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.951
135,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.361
136,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.021
137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.421
138,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.221
139,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.421
140,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.261
